,Content
0,"The newly floated Raijor Dal on Thursday announced that its chief and jailed anti-CAA activist Akhil Gogoi will withdraw his nomination from Mariani constituency and contest only from Sivasagar seat. Addressing a press conference here, Raijor Dal Working President Bhasco De Saikia said the decision to withdraw Gogoi’s nomination from Mariani was taken primarily to ensure defeat of the BJP from the constituency.”Though Akhil Gogoi would have won Mariani very easily as it is his home constituency, but we took this decision only to help form an anti-BJP government in Assam. ”Our this step has now ensured that BJP will be defeated in Mariani,” he added."
1,"Uttarakhand Chief Minister Tirath Singh Rawat is expected to expand his cabinet on March 12, state BJP chief Bansidhar Bhagat said on Thursday. He, however, said there is no official word on this so far.The Uttarakhand cabinet can have 12 ministers but two berths have remained vacant since the BJP government came to power in 2017. Another fell vacant after the demise of Finance Minister Prakash Pant in June 2019. These berths have remained vacant despite repeated discussions and party MLAs have been upset about it. This was also one of the reasons for the ouster of former chief minister Trivendra Singh Rawat, according to party sources."
2,"Chief Minister Uddhav Thackeray on Thursday evening said the Maharashtra Public Service Commission's (MPSC) preliminary examination would be held by March 22. Earlier, the MPSC's decision to postpone, yet again, the exam for government jobs which was to take place on March 14 (Sunday) on account of rising coronavirus cases sparked protests with students blocking a road in Pune.""The preliminary examination will be held within eight days from March 14. The announcement of dates will be made tomorrow, this is my promise to you,"" Thackeray said. The decision to postpone exams had evoked angry reaction from leaders of ruling allies Congress and NCP too.Thackeray also said no student will be barred on the ground of age as a result of postponement. ""Precautionary measures such as sanitization of exam centres, COVID-19 tests of paper distributors, supervisors and assessors are being taken. We are doing it in the interest of candidates' safety,"" the chief minister added.setTimeout(() => {
                            let playerscriptCounter = 0;

                            window.addEventListener('scroll', () => {
                                let pageYOffset = window.pageYOffset;
                            
                                if(pageYOffset > 80 && playerscriptCounter == 0) {
                                    let playerscript = document.createElement('script'); 
                                    playerscript.src =  ""//images.news18.com/static_news18/pix/ibnhome/news18/js/custom-js/pubstack-player/news18-gujrati/prod-player-react.js""; 
                                    playerscript.defer =  true;
                                    document.body.appendChild(playerscript);
                            
                                    playerscriptCounter++
                                }
                            });
                        }, 3000)""The preliminary examination will be held within eight days from March 14. The announcement of dates will be made tomorrow, this is my promise to you,"" Thackeray said. The decision to postpone exams had evoked angry reaction from leaders of ruling allies Congress and NCP too."
3,"Programmes and activities related to the ‘Azadi Ka Amrit Mahotsav’ will be inaugurated by Prime Minister Narendra Modi on Friday to mark the beginning of nationwide celebrations related to the 75th anniversary of the nation’s independence. In the state, initial events will be organised at four places associated with freedom struggle in the state – Kakori Shaheed Smarak (Lucknow), Shaheed Smarak and Freedom Struggle Museum (Meerut), Shaheed Smarak (Ballia) and Fort of Jhansi and Amrit Mahotsav in Pandit Deen Dayal Auditorium (Jhansi). Chief Minister Yogi Adityanath will take part in inagural events at Kakori.A government spokesperson said a 7,500-m ‘Independence Cycle Rally’ by 75 cyclists will reach selected sites (martyr memorials) at 9.45am as part of the celebrations. After this, a wreath-laying ceremony for martyrs will be held. The event will be inaugurated with the release of 75 Tricolor balloons along with the national anthem tune being played by the police band. Besides, poetry recitation on nationalism, street theatre and dance drama based on freedom struggle and folk songs of patriotism will be organised."
4,"Forest officials in Madhya Pradesh’s Indore managed to catch a leopard from a residential area following a 23-hour rescue operation after the feline attacked and injured four people in the city.The leopard which had sneaked out of Ralamandal wildlife sanctuary, on the outskirts of Indore, had barged into Limbodi area on Wednesday."
5,"The Uttar Pradesh government is all set to raze religious structures built on sides of roads, highways, pavements and lanes post 2011. This move comes after a high court order.The government has directed district officials to submit a list of such structures to the principal secretary or the secretary concerned, and he/she will then submit a detailed report to the chief secretary in the next two months."
6,"World No. 18 Elise Mertens pulled off a miraculous comeback, saving three match points en route to a 5-7, 7-5, 6-0 success over Jessica Pegula in the Dubai Open quarter-finals on Thursday. The Belgian 10th seed, who was down 5-7, 2-5 before she turned things around, is into the 15th tour-level semi-final of her career where she will face either her doubles partner Aryna Sabalenka or Garbine Muguruza. “It’s unbelievable to come back like this. I just didn’t want to let it go, I just kept on fighting, and I think that was the spirit today,” said Mertens.Pegula, one of 15 main-draw debutants in Dubai this week, entered the quarter-finals having dropped just eight games through her first three rounds in the Emirates."
7,"England striker Ellen White and United States World Cup winner Sam Mewis both scored twice as Manchester City beat Fiorentina 5-0 in Italy on Thursday to cruise into the Women’s Champions League quarter-finals 8-0 on aggregate. Leading 3-0 after the first leg of their last-16 tie, City were 3-0 ahead by half-time in the return in Florence, with captain White scoring twice either side of a penalty by Scotland’s Caroline Weir.Mewis, 28, replaced Weir at half-time and added further goals, on the hour and then again on 79 minutes."
8,"In response to a key senior management team executive departing Nike Inc. due to links to her son’s sneaker resale business, the sportswear giant has officially announced a replacement for the position. The company has named Sarah Mensah to take over as Vice President and General Manager of North America. Ann Hebert stepped down from her post last week amidst the discovery of her son, Joe’s reselling operation. Sarah formerly served the Swoosh brand as the Vice President and General Manager of Asia Pacific and Latin America. In her new post, Sarah will be reporting to Heidi O’Neill, president of consumer and marketplace the Oregon-based brand. Before joining Nike in 2013, Sarah served as the SVP and Chief Operating Officer (COO) of the National Basketball Association’s Portland Trailblazers.A week after Hebert resigned from her position, the activewear giant divulged senior leadership shakeup. Hebert left after an article by Bloomberg Businessweek uncovered the reason behind her quit was family ties with her son Joe, a notorious reseller. Joe was buying sneakers from Nike and other labels and then reselling them online. In addition to Hebert, Nike also found a replacement for Sarah’s former role. Amy Montaigne, another Nike veteran, will assume the role previously held by Sarah at the company."
9,"Chennai City FC took a huge leap toward survival as they got the better of the Indian Arrows 5-0 at the Kalyani Municipal Stadium in Kalyani, West Bengal on Thursday. A Vineeth Kumar brace coupled with goals from Rajesh, Jockson Dhas and Iqbal Hussain aided Chennai City FC to go four points clear of relegation rivals Neroca, who had lost earlier in the day. With this win, Chennai City also ended their five-match streak of losses, and coincidentally their last win had come against Neroca in the first phase of the season.Coming on the back of a 2-1 loss against Sudeva Delhi FC, Chennai City FC took control of the game by the scruff of its neck. The Chennai-based club dominated possession and created chances in a bid to propel themselves out of the relegation spot with a win. Playing high-pressing football, the Satyasagara-coached team restricted Indian Arrows in their own half."
